"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"210","Goniastrea edwardsi","Merulinidae",NA,NA,NA,NA,2.5,5,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"56.91"
"211","Goniastrea favulus","Merulinidae",NA,NA,-2.4975,3.1725,4,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.95"
"212","Coelastrea palauensis","Merulinidae",NA,NA,NA,NA,10,18.8,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Goniastrea pectinata","Merulinidae",NA,NA,NA,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.88"
"214","Goniastrea retiformis","Merulinidae",NA,NA,NA,NA,3.5,6.5,100,100,45.818,45.818,NA,NA,3.17,3.3,NA,NA,"56.85"
"215","Goniopora columna","Poritidae",NA,NA,NA,NA,2.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.83"
"216","Goniopora djiboutiensis","Poritidae",NA,NA,NA,NA,3.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.02"
"217","Goniopora eclipsensis","Poritidae",NA,NA,NA,NA,2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Goniopora fruticosa","Poritidae",NA,NA,NA,NA,1.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Goniopora lobata","Poritidae",NA,NA,NA,NA,2.4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.66"
"220","Goniopora minor","Poritidae",NA,NA,NA,NA,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Goniopora norfolkensis","Poritidae",NA,NA,NA,NA,1.5,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Goniopora palmensis","Poritidae",NA,NA,NA,NA,1.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Goniopora pandoraensis","Poritidae",NA,NA,NA,NA,2,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
